fileName,win/full,start,size,stat,value
burnin.100,full,1,23500,fixBurnMuts,24
burnin.100,full,1,23500,fixNewMuts,11
burnin.100,full,1,23500,fixSampMuts,0
burnin.100,windowed,1,100,fixBurnMuts,0
burnin.100,windowed,1,100,fixNewMuts,0
burnin.100,windowed,1,100,fixSampMuts,0
burnin.100,windowed,51,100,fixBurnMuts,0
burnin.100,windowed,51,100,fixNewMuts,0
burnin.100,windowed,51,100,fixSampMuts,0
burnin.100,windowed,101,100,fixBurnMuts,0
burnin.100,windowed,101,100,fixNewMuts,1
burnin.100,windowed,101,100,fixSampMuts,0
burnin.100,windowed,151,100,fixBurnMuts,0
burnin.100,windowed,151,100,fixNewMuts,1
burnin.100,windowed,151,100,fixSampMuts,0
burnin.100,windowed,201,100,fixBurnMuts,0
burnin.100,windowed,201,100,fixNewMuts,0
burnin.100,windowed,201,100,fixSampMuts,0
burnin.100,windowed,251,100,fixBurnMuts,0
burnin.100,windowed,251,100,fixNewMuts,0
burnin.100,windowed,251,100,fixSampMuts,0
burnin.100,windowed,301,100,fixBurnMuts,0
burnin.100,windowed,301,100,fixNewMuts,0
burnin.100,windowed,301,100,fixSampMuts,0
burnin.100,windowed,351,100,fixBurnMuts,0
burnin.100,windowed,351,100,fixNewMuts,0
burnin.100,windowed,351,100,fixSampMuts,0
burnin.100,windowed,401,100,fixBurnMuts,0
burnin.100,windowed,401,100,fixNewMuts,0
burnin.100,windowed,401,100,fixSampMuts,0
burnin.100,windowed,451,100,fixBurnMuts,0
burnin.100,windowed,451,100,fixNewMuts,0
burnin.100,windowed,451,100,fixSampMuts,0
burnin.100,windowed,501,100,fixBurnMuts,0
burnin.100,windowed,501,100,fixNewMuts,0
burnin.100,windowed,501,100,fixSampMuts,0
burnin.100,windowed,551,100,fixBurnMuts,0
burnin.100,windowed,551,100,fixNewMuts,0
burnin.100,windowed,551,100,fixSampMuts,0
burnin.100,windowed,601,100,fixBurnMuts,0
burnin.100,windowed,601,100,fixNewMuts,0
burnin.100,windowed,601,100,fixSampMuts,0
burnin.100,windowed,651,100,fixBurnMuts,0
burnin.100,windowed,651,100,fixNewMuts,0
burnin.100,windowed,651,100,fixSampMuts,0
burnin.100,windowed,701,100,fixBurnMuts,0
burnin.100,windowed,701,100,fixNewMuts,0
burnin.100,windowed,701,100,fixSampMuts,0
burnin.100,windowed,751,100,fixBurnMuts,0
burnin.100,windowed,751,100,fixNewMuts,0
burnin.100,windowed,751,100,fixSampMuts,0
burnin.100,windowed,801,100,fixBurnMuts,0
burnin.100,windowed,801,100,fixNewMuts,0
burnin.100,windowed,801,100,fixSampMuts,0
burnin.100,windowed,851,100,fixBurnMuts,0
burnin.100,windowed,851,100,fixNewMuts,0
burnin.100,windowed,851,100,fixSampMuts,0
burnin.100,windowed,901,100,fixBurnMuts,0
burnin.100,windowed,901,100,fixNewMuts,1
burnin.100,windowed,901,100,fixSampMuts,0
burnin.100,windowed,951,100,fixBurnMuts,0
burnin.100,windowed,951,100,fixNewMuts,1
burnin.100,windowed,951,100,fixSampMuts,0
burnin.100,windowed,1001,100,fixBurnMuts,0
burnin.100,windowed,1001,100,fixNewMuts,0
burnin.100,windowed,1001,100,fixSampMuts,0
burnin.100,windowed,1051,100,fixBurnMuts,0
burnin.100,windowed,1051,100,fixNewMuts,0
burnin.100,windowed,1051,100,fixSampMuts,0
burnin.100,windowed,1101,100,fixBurnMuts,0
burnin.100,windowed,1101,100,fixNewMuts,0
burnin.100,windowed,1101,100,fixSampMuts,0
burnin.100,windowed,1151,100,fixBurnMuts,0
burnin.100,windowed,1151,100,fixNewMuts,0
burnin.100,windowed,1151,100,fixSampMuts,0
burnin.100,windowed,1201,100,fixBurnMuts,0
burnin.100,windowed,1201,100,fixNewMuts,0
burnin.100,windowed,1201,100,fixSampMuts,0
burnin.100,windowed,1251,100,fixBurnMuts,0
burnin.100,windowed,1251,100,fixNewMuts,0
burnin.100,windowed,1251,100,fixSampMuts,0
burnin.100,windowed,1301,100,fixBurnMuts,0
burnin.100,windowed,1301,100,fixNewMuts,0
burnin.100,windowed,1301,100,fixSampMuts,0
burnin.100,windowed,1351,100,fixBurnMuts,0
burnin.100,windowed,1351,100,fixNewMuts,0
burnin.100,windowed,1351,100,fixSampMuts,0
burnin.100,windowed,1401,100,fixBurnMuts,0
burnin.100,windowed,1401,100,fixNewMuts,0
burnin.100,windowed,1401,100,fixSampMuts,0
burnin.100,windowed,1451,100,fixBurnMuts,0
burnin.100,windowed,1451,100,fixNewMuts,0
burnin.100,windowed,1451,100,fixSampMuts,0
burnin.100,windowed,1501,100,fixBurnMuts,0
burnin.100,windowed,1501,100,fixNewMuts,0
burnin.100,windowed,1501,100,fixSampMuts,0
burnin.100,windowed,1551,100,fixBurnMuts,0
burnin.100,windowed,1551,100,fixNewMuts,0
burnin.100,windowed,1551,100,fixSampMuts,0
burnin.100,windowed,1601,100,fixBurnMuts,0
burnin.100,windowed,1601,100,fixNewMuts,0
burnin.100,windowed,1601,100,fixSampMuts,0
burnin.100,windowed,1651,100,fixBurnMuts,0
burnin.100,windowed,1651,100,fixNewMuts,0
burnin.100,windowed,1651,100,fixSampMuts,0
burnin.100,windowed,1701,100,fixBurnMuts,0
burnin.100,windowed,1701,100,fixNewMuts,0
burnin.100,windowed,1701,100,fixSampMuts,0
burnin.100,windowed,1751,100,fixBurnMuts,0
burnin.100,windowed,1751,100,fixNewMuts,0
burnin.100,windowed,1751,100,fixSampMuts,0
burnin.100,windowed,1801,100,fixBurnMuts,0
burnin.100,windowed,1801,100,fixNewMuts,0
burnin.100,windowed,1801,100,fixSampMuts,0
burnin.100,windowed,1851,100,fixBurnMuts,0
burnin.100,windowed,1851,100,fixNewMuts,0
burnin.100,windowed,1851,100,fixSampMuts,0
burnin.100,windowed,1901,100,fixBurnMuts,0
burnin.100,windowed,1901,100,fixNewMuts,0
burnin.100,windowed,1901,100,fixSampMuts,0
burnin.100,windowed,1951,100,fixBurnMuts,0
burnin.100,windowed,1951,100,fixNewMuts,0
burnin.100,windowed,1951,100,fixSampMuts,0
burnin.100,windowed,2001,100,fixBurnMuts,0
burnin.100,windowed,2001,100,fixNewMuts,0
burnin.100,windowed,2001,100,fixSampMuts,0
burnin.100,windowed,2051,100,fixBurnMuts,0
burnin.100,windowed,2051,100,fixNewMuts,0
burnin.100,windowed,2051,100,fixSampMuts,0
burnin.100,windowed,2101,100,fixBurnMuts,1
burnin.100,windowed,2101,100,fixNewMuts,0
burnin.100,windowed,2101,100,fixSampMuts,0
burnin.100,windowed,2151,100,fixBurnMuts,1
burnin.100,windowed,2151,100,fixNewMuts,0
burnin.100,windowed,2151,100,fixSampMuts,0
burnin.100,windowed,2201,100,fixBurnMuts,0
burnin.100,windowed,2201,100,fixNewMuts,0
burnin.100,windowed,2201,100,fixSampMuts,0
burnin.100,windowed,2251,100,fixBurnMuts,0
burnin.100,windowed,2251,100,fixNewMuts,0
burnin.100,windowed,2251,100,fixSampMuts,0
burnin.100,windowed,2301,100,fixBurnMuts,0
burnin.100,windowed,2301,100,fixNewMuts,0
burnin.100,windowed,2301,100,fixSampMuts,0
burnin.100,windowed,2351,100,fixBurnMuts,0
burnin.100,windowed,2351,100,fixNewMuts,0
burnin.100,windowed,2351,100,fixSampMuts,0
burnin.100,windowed,2401,100,fixBurnMuts,0
burnin.100,windowed,2401,100,fixNewMuts,0
burnin.100,windowed,2401,100,fixSampMuts,0
burnin.100,windowed,2451,100,fixBurnMuts,0
