1	1.55451714411844e-06
501	7.95806581061333e-08
1001	3.9881344045978e-07
1501	6.72483923467808e-07
2001	8.72465945482254e-07
2501	4.36603466533125e-07
3001	1.12603146713227e-07
3501	2.17056398298591e-07
4001	1.23246743557509e-06
4501	5.71173770404421e-07
5001	7.3427305996418e-07
5501	1.92272257658653e-06
6001	9.14960451419465e-07
6501	3.15894200811163e-07
7001	1.02090213865507e-06
7501	4.74487881930545e-07
8001	1.79972176634707e-06
8501	1.5451904156385e-06
9001	1.69732454950921e-06
9501	1.23620603181422e-06
10001	1.25748270448763e-06
10501	2.04585638684221e-07
11001	9.21442567151971e-07
11501	2.8177561734803e-07
12001	6.8386064753402e-07
12501	2.84836160535924e-07
13001	1.48246845663525e-07
13501	9.01802255003713e-07
14001	1.90046641373541e-06
14501	3.29522342165001e-07
15001	8.79280500905588e-07
15501	4.22427127924748e-07
16001	1.13255035796203e-06
16501	2.72991712191142e-07
17001	5.80454076635651e-07
17501	1.17346522999927e-06
18001	1.38806034645066e-06
18501	6.83126541846432e-07
19001	1.0640504640108e-06
19501	4.20810242081061e-07
20001	8.49811615659855e-07
20501	5.49092788575217e-08
21001	3.65787948574871e-08
21501	3.99397623278201e-07
22001	1.97631597382482e-06
22501	7.19047284782864e-07
23001	1.39550706283189e-06
